Isolate	MLST_A	MLST_B	Contigs	bp
VGT9N5	No MLST	No MLST	164	3366017
U3IZ39	11	No MLST	332	2111595
H7YRGD	213	No MLST	275	2212398
PBGMLI	43	No MLST	133	2095495
RM3OA4	7808	No MLST	184	2182253
8VX6ZD	6058	No MLST	228	2117309
T11YGO	1214	No MLST	1153	2174427
OZFKTG	10001	No MLST	190	2156719
H5EC9P	32	No MLST	211	2162734
Y2BKCQ	114	No MLST	276	2203876
YJMLK6	1194	No MLST	204	2147213
ID7D55	1214	No MLST	289	2138605
TCCIRD	1214	No MLST	203	2167132
TZ1JBZ	4145	No MLST	299	2188974
78RUIW	1214	No MLST	197	2160897
H0NMP0	42	No MLST	169	2150401
O9RUCO	154	No MLST	150	2164944
MMZLDG	6058	No MLST	171	2114186
WBUVJJ	467	No MLST	217	2184082
YPY64R	No MLST	No MLST	181	2169293
KQZ8PE	11	No MLST	196	2141904
J79SCT	32	No MLST	199	2175236
XY8OH3	1791	No MLST	230	2208968
YDRBTP	9991	No MLST	185	2115418
V3M8NM	1214	No MLST	194	2217707
U46A7T	42	No MLST	229	2155102
LFZA1Q	6058	No MLST	212	2120745
WYVM83	32	No MLST	142	2137546
04P40K	11	No MLST	163	2147373
A0V9FS	No MLST	No MLST	176	2093744
BKB4EA	154	No MLST	158	2162127
MARKQM	6782	No MLST	170	2162160
MRXKZ2	32	No MLST	127	2149947
JZAL2W	1194	No MLST	127	2176374
T9DM0O	1214	No MLST	160	2188925
VAZQMC	32	No MLST	153	2154081
TUC5IR	146	No MLST	155	2162827
2V9AEK	6782	No MLST	154	2171321
G6X5WD	6058	No MLST	162	2127045
ZKBDYS	213	No MLST	224	2216646
Y91JDD	42	No MLST	166	2173268
FLAUSV	1194	No MLST	146	2178194
B4HP0E	136	No MLST	188	2215323
5J8GB4	213	No MLST	216	2210082
F2OEA6	6058	No MLST	191	2127243
G7BRZE	2931	No MLST	164	2187446
BRTMZJ	32	No MLST	157	2156138
VKGAVL	213	No MLST	201	2217845
JRMVBR	23	No MLST	201	2119609
E9UHRF	275	No MLST	195	2199820
LGU48T	No MLST	No MLST	130	2131911
1WD6IO	41	No MLST	179	2175008
3DDU8F	6058	No MLST	172	2165995
JKU5CK	9819	No MLST	138	2170163
KNYGOP	2012	No MLST	137	2113853
Z2G6CL	3651	No MLST	186	2205521
Y0J6PM	1194	No MLST	128	2175053
UBVAE4	1281	No MLST	181	2223470
9WUQ0R	275	No MLST	188	2196887
578KJ9	154	No MLST	165	2166712
GBRBBE	154	No MLST	140	2174003
73XR9R	6058	No MLST	158	2123664
OIIU9N	1061	No MLST	222	2210977
HCYNFP	3651	No MLST	203	2208475
FFA4HB	184	No MLST	201	2223704
CNBZ8L	32	No MLST	140	2151186
DZBZ6D	6058	No MLST	174	2123492
165CPD	1281	No MLST	576	2207227
Y461HJ	409	No MLST	173	2120424
EQ7B0D	No MLST	No MLST	232	2249392
BJ6OVX	191	No MLST	171	2160030
RTSKJK	191	No MLST	169	2167092
CJP70I	6058	No MLST	267	2149847
XWLGKU	1214	No MLST	168	2184830
W9KVVH	1901	No MLST	194	2160953
O4UZBM	275	No MLST	178	2197432
N0QX53	32	No MLST	140	2165352
CBUEZ4	1214	No MLST	184	2187659
YMAKCG	32	No MLST	152	2163122
AOC0NY	23	No MLST	197	2104907
SDSJE5	213	No MLST	208	2220582
FCQVD0	11	No MLST	157	2147610
F7YSIN	32	No MLST	159	2136508
SBB8W8	6058	No MLST	136	2132042
5JJ0WT	2931	No MLST	156	2189505
RL3ENS	213	No MLST	227	2222394
NGOQY9	2012	No MLST	141	2103677
97R7J9	No MLST	No MLST	243	2221408
8TAM5S	275	No MLST	199	2202610
1JPC6A	5118	No MLST	194	2202610
5O8V24	275	No MLST	208	2202049
FVW061	485	No MLST	188	2164414
CZKN7J	275	No MLST	221	2200629
VVKJSB	1791	No MLST	193	2232165
X9YD9J	22	No MLST	200	2222772
TGV8EF	32	No MLST	171	2187303
7KO9V5	213	No MLST	276	2218786
ULY0U9	6058	No MLST	239	2170687
EGBHGP	11432	No MLST	224	2143799
GLS5KA	154	No MLST	188	2161817
3G1AXK	275	No MLST	259	2200422
HRAAFA	136	No MLST	168	2104259
ASHRMB	No MLST	No MLST	151	2158155
6GE3NE	6058	No MLST	175	2126727
4WCN3O	1791	No MLST	203	2235311
KQHC1C	32	No MLST	158	2157865
RKDF2P	1791	No MLST	240	2236352
W7T1ZN	10498	No MLST	193	2179809
CO4IXB	13146	No MLST	164	2121851
32WU5F	2931	No MLST	183	2182346
SALNVV	1163	No MLST	208	2208191
B1GKXS	23	No MLST	182	2092599
X8KYPJ	457	No MLST	209	2133616
JQ9HFC	6058	No MLST	216	2117102
HOA64A	275	No MLST	236	2184662
3MND36	275	No MLST	252	2206134
AD47DL	5546	No MLST	195	2093537
6EI2TX	213	No MLST	245	2190939
04DCLP	1214	No MLST	215	2154166
42G9L5	32	No MLST	189	2142184
HUCME1	23	No MLST	229	2096651
H9KFBY	23	No MLST	203	2093042
NX1CRT	6058	No MLST	198	2115142
F0L894	213	No MLST	303	2197685
2B0SYL	4267	No MLST	258	2163841
AWKCBO	No MLST	No MLST	290	2228390
IPZAE8	749	No MLST	191	2161500
31QDL4	749	No MLST	188	2152223
DGDP23	1214	No MLST	198	2140676
J11IEP	808	No MLST	266	2162999
6URDI0	1194	No MLST	188	2149797
78LR96	11	No MLST	196	2129412
FYS02V	11	11	253	2134811
106P4Y	No MLST	No MLST	428	5477803
4ZXGTL	184	184	569	2204001
CKTCXR	184	184	597	2207457
LAKODL	No MLST	No MLST	35	2919188
J9U3SJ	No MLST	No MLST	99	4901360
NG0HH6	11	11	401	2108817
DHKXVT	12004	new	700	2224354
66I49J	22	No MLST	1664	2233879
YRACB0	No MLST	No MLST	126	5572812
QE15DV	11	11	228	2119829
6LTLD9	22	No MLST	752	2290294
IVG1IB	11	11	371	2108168
VBO5XS	11	11	293	2121691
RFLTU9	22	22	511	2220797
3M5WZX	11	11	363	2111698
K7SM8W	11	11	355	2106419
GUG9KD	11	11	329	2109461
K8YJER	184	184	580	2210742
2NUFAM	No MLST	No MLST	41	1725198
YGVG18	11	11	320	2113443
GI8MZY	1655	No MLST	514	2103321
7XROWM	11	11	219	2120580
HBHH8E	No MLST	No MLST	68	1822955
BW6JLX	11	11	263	2087041
ZOZ0O1	11	11	194	2108767
D9B15T	344	No MLST	537	2329933
URIX2W	467	No MLST	211	2182601
DFC03W	11	No MLST	228	2126249
YL3C49	66	No MLST	204	2125642
Y1LF8S	11	11	179	2113017
26G9VX	11	11	383	2097793
GPDGT1	11	11	137	2101709
ZHWIEA	11	11	147	2121744
6BN2CO	11	11	145	2111413
F2XV2H	184	No MLST	219	2181438
Y21TDF	11	11	175	2095040
LTXSNV	11	11	143	2109105
CB2YWU	11	11	160	2104107
GEIP6G	11	11	160	2110810
0OKN9O	11	11	204	2109802
7YIDM4	11	11	225	2121112
2AZ3JJ	11	11	226	2113923
ITYSO9	No MLST	No MLST	95	6965106
S0LZ9Y	11	11	205	2110794
SFS184	11	11	228	2123322
P9JR4T	11	11	253	2113429
LZZN21	11	No MLST	226	2112972
I25N0N	22	22	387	2212983
6ZUI4F	11	11	222	2120523
8ZEUVA	9989	No MLST	269	2185049
XGIOVX	22	22	355	2219438
N5FBXZ	11	11	220	2117042
VOUJC7	12351	new (ST 11 variant)	1132	2131524
L7MK2H	2870	No MLST	226	2137024
QQNLEV	11	11	222	2125184
M0YAPY	11	11	248	2116700
PI3TK2	11	11	239	2119383
ZYP815	11	11	247	2124336
2WC6NV	11	11	210	2119682
CTT8VU	1655	No MLST	301	2104693
F6UPWK	12351	Clonal complex 11	217	2117770
FPJ9P0	1655	No MLST	272	2107512
35P4QL	11	11	221	2111689
GXMBHI	808	No MLST	316	2173776
3RY9Y1	11	No MLST	221	2112997
