Isolate	Contigs	bp
VGT9N5.ext	164	3366017
U3IZ39.ext	332	2111595
H7YRGD.ext	275	2212398
PBGMLI.ext	133	2095495
RM3OA4.ext	184	2182253
8VX6ZD.ext	228	2117309
T11YGO.ext	1153	2174427
OZFKTG.ext	190	2156719
H5EC9P.ext	211	2162734
Y2BKCQ.ext	276	2203876
YJMLK6.ext	204	2147213
ID7D55.ext	289	2138605
TCCIRD.ext	203	2167132
TZ1JBZ.ext	299	2188974
78RUIW.ext	197	2160897
H0NMP0.ext	169	2150401
O9RUCO.ext	150	2164944
MMZLDG.ext	171	2114186
WBUVJJ.ext	217	2184082
YPY64R.ext	181	2169293
KQZ8PE.ext	196	2141904
J79SCT.ext	199	2175236
XY8OH3.ext	230	2208968
YDRBTP.ext	185	2115418
V3M8NM.ext	194	2217707
U46A7T.ext	229	2155102
LFZA1Q.ext	212	2120745
WYVM83.ext	142	2137546
04P40K.ext	163	2147373
A0V9FS.ext	176	2093744
BKB4EA.ext	158	2162127
MARKQM.ext	170	2162160
MRXKZ2.ext	127	2149947
JZAL2W.ext	127	2176374
T9DM0O.ext	160	2188925
VAZQMC.ext	153	2154081
TUC5IR.ext	155	2162827
2V9AEK.ext	154	2171321
G6X5WD.ext	162	2127045
ZKBDYS.ext	224	2216646
Y91JDD.ext	166	2173268
FLAUSV.ext	146	2178194
B4HP0E.ext	188	2215323
5J8GB4.ext	216	2210082
F2OEA6.ext	191	2127243
G7BRZE.ext	164	2187446
BRTMZJ.ext	157	2156138
VKGAVL.ext	201	2217845
JRMVBR.ext	201	2119609
E9UHRF.ext	195	2199820
LGU48T.ext	130	2131911
1WD6IO.ext	179	2175008
3DDU8F.ext	172	2165995
JKU5CK.ext	138	2170163
KNYGOP.ext	137	2113853
Z2G6CL.ext	186	2205521
Y0J6PM.ext	128	2175053
UBVAE4.ext	181	2223470
9WUQ0R.ext	188	2196887
578KJ9.ext	165	2166712
GBRBBE.ext	140	2174003
73XR9R.ext	158	2123664
OIIU9N.ext	222	2210977
HCYNFP.ext	203	2208475
FFA4HB.ext	201	2223704
CNBZ8L.ext	140	2151186
DZBZ6D.ext	174	2123492
165CPD.ext	576	2207227
Y461HJ.ext	173	2120424
EQ7B0D.ext	232	2249392
BJ6OVX.ext	171	2160030
RTSKJK.ext	169	2167092
CJP70I.ext	267	2149847
XWLGKU.ext	168	2184830
W9KVVH.ext	194	2160953
O4UZBM.ext	178	2197432
N0QX53.ext	140	2165352
CBUEZ4.ext	184	2187659
YMAKCG.ext	152	2163122
AOC0NY.ext	197	2104907
SDSJE5.ext	208	2220582
FCQVD0.ext	157	2147610
F7YSIN.ext	159	2136508
SBB8W8.ext	136	2132042
5JJ0WT.ext	156	2189505
RL3ENS.ext	227	2222394
NGOQY9.ext	141	2103677
97R7J9.ext	243	2221408
8TAM5S.ext	199	2202610
1JPC6A.ext	194	2202610
5O8V24.ext	208	2202049
FVW061.ext	188	2164414
CZKN7J.ext	221	2200629
VVKJSB.ext	193	2232165
X9YD9J.ext	200	2222772
TGV8EF.ext	171	2187303
7KO9V5.ext	276	2218786
ULY0U9.ext	239	2170687
